tau,R_tau,n_pairs,R0_tau_null,R_minus_null
1,inf,9067,inf,
2,inf,8983,inf,
3,inf,8834,inf,
4,inf,8776,inf,
5,inf,8605,inf,
6,inf,8595,inf,
7,inf,8399,inf,
8,inf,8376,inf,
9,inf,8160,inf,
10,inf,8058,inf,
11,inf,7950,inf,
12,inf,7820,inf,
13,inf,7706,inf,
14,inf,7612,inf,
15,inf,7534,inf,
16,inf,7438,inf,
17,inf,7341,inf,
18,inf,7185,inf,
19,inf,7096,inf,
20,inf,6975,inf,
21,inf,6882,inf,
22,inf,6784,inf,
23,inf,6649,inf,
24,inf,6562,inf,
25,inf,6562,inf,
26,inf,6442,inf,
27,inf,6365,inf,
28,inf,6261,inf,
29,inf,6124,inf,
30,inf,6143,inf,
31,inf,5980,inf,
32,inf,6018,inf,
33,inf,5894,inf,
34,inf,5940,inf,
35,inf,5835,inf,
36,inf,5843,inf,
