k,logloss,auc,n_train,n_test,n_features,delta_logloss_vs_k0
0,0.017853717753426424,0.9980210989527576,103182,43446,4,0.0
1,0.01607617122661199,0.9984689507174053,103182,43446,6,-0.0017775465268144337
2,0.016076217313720942,0.9984714606311353,103182,43446,8,-0.0017775004397054817
3,0.016077587716978866,0.9984770430912326,103182,43446,10,-0.0017761300364475575
4,0.016092139201871147,0.9984577095080396,103182,43446,12,-0.001761578551555277
5,0.01609529772106365,0.9984489534184233,103182,43446,14,-0.0017584200323627723
6,0.01611082477720029,0.9984288435929141,103182,43446,16,-0.001742892976226134
7,0.016110229672088736,0.9984271576022321,103182,43446,18,-0.001743488081337688
8,0.01610906336890253,0.9984299116413099,103182,43446,20,-0.0017446543845238936
9,0.016102696570718195,0.9984406779505852,103182,43446,22,-0.001751021182708229
10,0.01610329068485345,0.9984346511060662,103182,43446,24,-0.0017504270685729725
11,0.016106083870173753,0.9984292078737061,103182,43446,26,-0.0017476338832526708
12,0.01610208767744216,0.9984349886856484,103182,43446,28,-0.0017516300759842646
